spec,status,mae,mae_std,n,n_families,n_scored
Scale,ok,14.138556800107127,3.5521353311667694,250,13,250
Scale+Arch,ok,14.821991058379988,3.2913609204430854,250,13,250
Scale+Recipe,ok,11.096592317793531,2.911000070230168,250,13,250
Full,ok,9.282451127691752,0.8812946128004409,250,13,250
