iteration,mae,mae_std,status,n,n_families
0,9.77609329434675,1.5604190592560097,ok,250,13
1,11.829186394865092,1.836418921602767,ok,250,13
2,10.359126157438764,1.3497487302865656,ok,250,13
3,11.093607591642863,1.9579419189051208,ok,250,13
4,10.219305189429544,1.327158061028395,ok,250,13
5,10.677912164488184,1.5211752126289826,ok,250,13
6,10.777394258515201,1.6558227837024757,ok,250,13
7,10.9324352424268,2.480359337179727,ok,250,13
8,11.744917449709819,2.526315787764818,ok,250,13
9,12.187722182535577,2.4214193713558343,ok,250,13
10,8.85922033406105,1.5865965351989375,ok,250,13
11,9.968364718093055,1.4148730634441091,ok,250,13
12,10.683011256716515,1.4446563340770922,ok,250,13
13,12.750930478257233,2.7036110921266965,ok,250,13
14,9.207122193884409,0.793654423448297,ok,250,13
15,10.637943492838122,1.1553055707210078,ok,250,13
16,10.671771672641292,0.9574651415293598,ok,250,13
17,11.198503565174011,1.5481713610967556,ok,250,13
18,11.392308421893583,1.8657074775225806,ok,250,13
19,9.975663273078974,1.0313212228900248,ok,250,13
20,10.531473831639465,1.103278134579667,ok,250,13
21,11.60898573461366,1.2943320987363471,ok,250,13
22,10.002433738971268,0.7490411569874419,ok,250,13
23,12.453919385796196,2.602697553510931,ok,250,13
24,10.537375534496372,1.2384513494376332,ok,250,13
25,10.726122871479237,1.3204347508186538,ok,250,13
26,8.973529977248313,1.3379471059876729,ok,250,13
27,11.04840455786831,2.378203105273743,ok,250,13
28,12.287351138689434,2.1578937148375092,ok,250,13
29,9.77325508855575,0.8007196304572605,ok,250,13
30,10.237496097600355,1.6251823611378973,ok,250,13
31,11.29941969399139,0.7956489514974622,ok,250,13
32,11.394631831030415,1.1715979468891784,ok,250,13
33,9.471500428846053,1.2169021902012118,ok,250,13
34,10.750678004308837,0.931475738191437,ok,250,13
35,9.95587189311285,1.8154847890886314,ok,250,13
36,10.42628461423375,1.17395790445502,ok,250,13
37,10.788915367830441,1.7438110170474874,ok,250,13
38,11.516131222992517,1.4388690001923174,ok,250,13
39,11.826911359035325,1.0918970791800962,ok,250,13
40,10.590198133618514,1.541847278574218,ok,250,13
41,11.408588516032149,1.728762977384473,ok,250,13
42,12.690915279563177,2.916173551668243,ok,250,13
43,10.290069696771125,1.366300431826896,ok,250,13
44,9.293114472787133,1.1218893321598256,ok,250,13
45,9.249613377696544,0.9549978377046117,ok,250,13
46,10.92856806542864,2.0633788788111422,ok,250,13
47,11.148604032013626,2.096209086687882,ok,250,13
48,9.243436473108817,1.5697734857380095,ok,250,13
49,11.787259568516504,2.046294608888679,ok,250,13
50,11.132845603197191,1.558925314968592,ok,250,13
51,8.25449223516752,0.7691031239669353,ok,250,13
52,10.256654163537247,0.8103713997762227,ok,250,13
53,9.556229418954649,0.9029538412910566,ok,250,13
54,10.23080066477576,1.3117715732415205,ok,250,13
55,10.24000161352681,1.8510287617975432,ok,250,13
56,10.441072728879835,1.0415462080184743,ok,250,13
57,10.738068944360467,2.4825990461685987,ok,250,13
58,10.59132612878207,1.4947427613011093,ok,250,13
59,10.801620481125951,1.4376615314155838,ok,250,13
