iteration,full_mae,scale_mae,scale_minus_full_mae
0,8.51831914669679,14.260071923596332,5.741752776899542
1,9.371943066112976,12.91175369248249,3.5398106263695137
2,8.602128364510325,13.815436671044163,5.213308306533838
3,9.70734056967634,14.759732700480765,5.052392130804424
4,9.156795318597883,14.43224641411838,5.275451095520497
5,9.956629007069706,14.639552073289954,4.682923066220248
6,9.18392823053662,15.166403012688209,5.982474782151588
7,9.851288302517064,15.064983731681405,5.213695429164341
8,9.42994568786925,14.465852676519372,5.035906988650122
9,9.743058473032429,14.226174730093705,4.483116257061276
10,9.184623026932798,14.241735829069503,5.0571128021367056
11,8.709052661080547,13.71935815178285,5.010305490702303
12,9.798380493931361,14.698658669311433,4.9002781753800715
13,10.02880315316511,14.502890108485653,4.4740869553205425
14,9.622014367967278,13.446211834233523,3.824197466266245
15,9.8875172188034,14.9968474403174,5.109330221514
16,9.82904340395026,14.166087898622097,4.3370444946718365
17,8.90189461175139,13.148527646660147,4.246633034908758
18,9.339972029729406,14.811032021306504,5.471059991577098
19,8.98407576047155,13.784844141389122,4.800768380917573
20,8.356503993263468,13.295622409792921,4.939118416529453
21,9.899612642130572,14.697045298437937,4.797432656307365
22,9.321603127505762,13.536997050661112,4.21539392315535
23,9.363642938421476,14.929457356904638,5.565814418483162
24,9.082936573318362,13.600514419116548,4.517577845798186
25,10.139164047335612,15.362897819432051,5.223733772096439
26,9.09971035414382,14.098505521429837,4.998795167286017
27,9.171365380874267,14.517676565708598,5.346311184834331
28,10.767917269687551,13.746367526714051,2.9784502570265
29,9.288759508987832,13.96291747083853,4.674157961850698
30,9.027142256520266,13.501748026818873,4.4746057702986075
31,9.398898334806066,14.902994997083868,5.504096662277801
32,9.30839964774558,14.226727958070384,4.918328310324805
33,9.407351352464906,14.699691043574797,5.292339691109891
34,8.358936457022267,13.018784455081764,4.659847998059497
35,9.090566369348489,13.296236381859531,4.205670012511042
36,9.820237104430717,15.001312046503516,5.181074942072799
37,10.152864491448053,15.309656227250139,5.156791735802086
38,8.622886035387838,14.570985905650168,5.948099870262331
39,9.852365048397365,14.396659137398496,4.544294089001131
40,8.94001777484473,13.117945117546505,4.177927342701775
41,10.091737991189442,15.300477020160304,5.208739028970863
42,8.559449402458892,13.764258417773704,5.204809015314812
43,8.926243473683114,13.422647643104709,4.496404169421595
44,10.138780723134515,14.415169436396331,4.276388713261817
45,9.939306713505179,13.67936548095318,3.7400587674480015
46,9.683230665265755,14.64955228712984,4.966321621864084
47,8.803680465778346,13.599926758312472,4.796246292534127
48,8.97787278988975,15.234506526723981,6.256633736834232
49,9.596318049612195,14.309434582122188,4.713116532509993
50,8.973153744942373,13.816089333373496,4.842935588431123
51,9.93804363911633,14.41787164874092,4.47982800962459
52,9.825130989765553,13.745598116146118,3.920467126380565
53,8.591957276837716,13.985323211295842,5.393365934458126
54,8.899254718275557,14.322522259667458,5.423267541391901
55,9.955405140288255,14.581049100878484,4.62564396059023
56,9.103217075905642,13.795671573657552,4.6924544977519105
57,9.076964259172165,13.529153129878912,4.452188870706747
58,9.172696742383303,13.822944354246571,4.650247611863268
59,9.491071353081935,14.210881563552393,4.719810210470458
60,8.51790326533592,15.069800966207145,6.5518977008712245
61,9.669188108877076,14.550493944599383,4.881305835722307
62,9.414313677899578,14.828709069893188,5.41439539199361
63,8.849488253188204,13.421526045782128,4.572037792593925
64,8.78440375121511,14.616978121863799,5.832574370648688
65,9.612364211755438,13.366379103378325,3.7540148916228873
66,9.884422684827056,14.12526249232984,4.240839807502784
67,10.237335305588749,15.01013007618171,4.772794770592961
68,9.524634401203372,13.309371723290003,3.784737322086631
69,9.083603040480195,15.557437137501136,6.473834097020941
70,9.403405712001113,14.052608825298053,4.64920311329694
71,9.265523939177166,13.67787665645047,4.412352717273304
72,8.61490360406779,13.896644137803976,5.281740533736187
73,9.02707060922727,13.218649278614276,4.191578669387006
74,9.80262560469652,16.074168681010946,6.271543076314426
75,10.841946800048415,15.277861351213629,4.435914551165213
76,8.880332940561479,13.394500191744324,4.514167251182846
77,8.823079555208373,13.735162227648953,4.9120826724405795
78,8.408493069571243,14.045345929175822,5.636852859604579
79,9.83866272938163,13.806819563153896,3.968156833772266
80,9.961268159108442,15.481748094956588,5.520479935848146
81,9.79077670169756,15.295375312423326,5.5045986107257665
82,10.858448356018743,14.588291189932145,3.729842833913402
83,10.104495144183392,14.263480111927894,4.158984967744502
84,10.278002229256543,14.122595774785847,3.844593545529303
85,9.559093203303267,15.180364559672938,5.621271356369672
86,9.376672067845757,13.414757611551988,4.038085543706231
87,8.87047267199187,14.307015089238357,5.436542417246487
88,10.218411748033327,15.636596186856776,5.418184438823449
89,9.49488305105577,14.287965430123673,4.793082379067904
90,9.354978815686898,13.212495638048743,3.857516822361845
91,9.139077680616317,14.49462457921687,5.3555468986005526
92,9.388414060317366,14.62795903359109,5.239544973273723
93,8.930410950294961,13.82220296029375,4.891792009998788
94,9.527303466669657,15.332587666842757,5.8052842001731
95,9.304980935137637,14.913838793250141,5.608857858112504
96,10.035378645394752,14.691273709375153,4.655895063980401
97,9.138900464502822,13.4508079186162,4.311907454113378
98,8.261758325917643,13.484372580019132,5.222614254101488
99,8.602183396810368,13.702991345101207,5.100807948290839
100,9.955262846947312,14.666099460564267,4.710836613616955
101,9.67854902838265,14.374026362153277,4.6954773337706275
102,9.028763332812508,13.942725526719112,4.913962193906604
103,9.223507179236979,13.52459016284025,4.301082983603271
104,9.628053866234882,14.544377996010738,4.916324129775855
105,9.500458540804088,14.930661971653691,5.430203430849604
106,9.646351401700791,14.724795046271398,5.078443644570607
107,10.27582696129581,15.20153488890265,4.92570792760684
108,9.652356022142754,13.476982294306403,3.8246262721636484
109,8.69520713097733,13.435247206395555,4.740040075418225
110,8.941541987432771,13.695068631640222,4.753526644207451
111,9.716081519811594,13.466648762427164,3.7505672426155705
112,9.571071353592021,15.991802819444858,6.420731465852837
113,8.244109936893887,12.025261951932274,3.781152015038387
114,8.813173360614929,14.23059788550928,5.417424524894351
115,9.416955508422022,14.813654091141391,5.3966985827193685
116,8.551129261385448,14.452971950606846,5.901842689221398
117,8.99162690418327,13.415910478472133,4.424283574288863
118,8.954891456735798,14.295639827046271,5.3407483703104734
119,9.563367767091565,15.294259195930497,5.730891428838932
120,9.521105925128976,14.285233730666887,4.76412780553791
121,9.330164710615454,14.089394076937925,4.7592293663224705
122,9.327732715352369,14.437823232768615,5.110090517416246
123,9.557694226762266,14.126547863728337,4.568853636966072
124,9.33898049436274,14.460060725410806,5.121080231048065
125,9.283627150103113,12.77359828048288,3.4899711303797663
126,9.132751361952913,14.14942696905494,5.016675607102027
127,9.794515860125108,15.603399973000737,5.80888411287563
128,9.810263604018283,14.061089773008403,4.25082616899012
129,9.779204340702293,14.924279749239997,5.1450754085377035
130,9.336319101392286,14.496384925872304,5.160065824480018
131,8.851727221788362,12.867992232584207,4.016265010795845
132,8.93768011969868,12.724286672505386,3.786606552806706
133,7.9920606966089816,13.781871296304988,5.789810599696007
134,8.872527299010196,13.217480447476168,4.344953148465972
135,9.813073215143158,13.998971834271895,4.1858986191287375
136,8.833145413419304,13.443012689419866,4.609867276000562
137,9.019411903786375,14.77117631551608,5.751764411729704
138,9.339649873060644,15.41027410191972,6.070624228859076
139,8.929294340339023,14.039928820502306,5.110634480163283
140,9.159442719809343,13.940068250214958,4.780625530405615
141,8.98125079352294,13.232523328957681,4.25127253543474
142,8.69696346213475,14.21718425051914,5.520220788384389
143,9.396420196275168,15.081874369329041,5.6854541730538735
144,8.93036736202221,13.61875037738951,4.6883830153673
145,8.89110645279184,13.602585905921062,4.711479453129222
146,9.581367297790942,14.63294811980345,5.051580822012507
147,9.266659357190266,13.9555420000004,4.688882642810134
148,8.33032587876799,15.092022346910726,6.761696468142736
149,9.421772505078176,13.304627188660318,3.882854683582142
150,8.616021558356067,14.271327851853176,5.655306293497109
151,9.98255289279922,13.524971737661364,3.5424188448621443
152,10.004754534220504,13.869568715921355,3.864814181700851
153,9.41417334547366,14.526466722800537,5.112293377326877
154,9.295102008844278,13.453984098395583,4.158882089551305
155,8.686889300161031,14.067562833365438,5.380673533204407
156,9.282647031318294,13.17989372233158,3.897246691013285
157,8.53227539254932,13.901062208319102,5.3687868157697825
158,10.183845384894104,16.021400481497555,5.837555096603451
159,9.404294813605233,14.150368490813863,4.74607367720863
160,10.278658472239835,14.887293780265493,4.608635308025658
161,8.377578103834844,13.517798161614289,5.140220057779445
162,9.403623433751724,14.155857119987884,4.75223368623616
163,8.17987789508855,12.774107994045401,4.594230098956851
164,9.409348469351245,14.14795576742368,4.738607298072434
165,8.82737841337499,14.028015500675314,5.200637087300324
166,9.388601507034279,15.476676658553808,6.088075151519529
167,8.61892643526715,13.311329875766504,4.692403440499353
168,8.712653034580578,13.427885744928,4.715232710347422
169,9.225693817110988,13.668998761307433,4.443304944196445
170,8.837129643347701,13.667926955927646,4.830797312579945
171,9.515230166690174,15.459090845047085,5.943860678356911
172,9.47559217979864,14.215862837364048,4.740270657565407
173,8.867497486425988,13.530823555905775,4.663326069479787
174,8.912636629350143,14.272303601617086,5.359666972266943
175,9.54844731011406,13.825680655339122,4.277233345225062
176,9.871175987245067,15.200709579543743,5.3295335922986755
177,9.463703152630556,13.532189955482517,4.068486802851961
178,9.520545924816808,14.11658127823736,4.596035353420552
179,9.921537969167312,13.665607728330288,3.7440697591629757
180,9.269487611276391,13.388938800954367,4.119451189677976
181,10.19617537433069,14.8848480901476,4.68867271581691
182,8.62884501734978,14.110189288799083,5.481344271449302
183,9.158595473668004,14.963194138048609,5.804598664380604
184,9.147141780782958,13.490224479945423,4.343082699162466
185,9.046745153871116,14.695117465967373,5.648372312096257
186,9.844504759206398,14.486664855768073,4.642160096561675
187,9.29393620166249,14.598046336884643,5.304110135222153
188,9.072006281730973,14.017160256236584,4.945153974505612
189,9.423659188881674,14.781139529874915,5.357480340993241
190,9.345935160706363,15.707508367334245,6.361573206627883
191,9.373414971369153,13.002647789646153,3.629232818277
192,9.857500089495437,12.732242923970702,2.8747428344752652
193,9.400582607845738,14.310244272792522,4.909661664946784
194,9.588788402360475,14.708188572882264,5.119400170521789
195,8.540659755661599,14.463140281788151,5.922480526126552
196,9.44787353885566,13.973268402767584,4.525394863911924
197,9.112240503830394,14.65280976380951,5.540569259979115
198,10.50978609848905,14.662257940728514,4.152471842239464
199,8.44722772207063,12.975197139749257,4.5279694176786265
200,9.944309128053773,13.512831678955155,3.568522550901383
201,9.413991621566106,13.49906662538539,4.085075003819284
202,8.415583769074638,13.166282875564395,4.750699106489757
203,10.445269280322362,14.168066933587156,3.7227976532647933
204,9.530229199853068,14.71623140485473,5.186002205001662
205,8.599334629650569,13.399894084892694,4.800559455242125
206,8.591492248122368,12.17057132036181,3.579079072239443
207,8.883031340923678,14.298229475848627,5.41519813492495
208,9.685522018461693,14.62262031538129,4.937098296919597
209,9.526263949840146,14.36465072017187,4.838386770331724
210,8.556144515208578,13.746409731385747,5.190265216177169
211,9.732355503819857,15.261772705547127,5.52941720172727
212,9.261554382894866,13.923493541326856,4.66193915843199
213,10.085836197820043,14.591814383077113,4.505978185257069
214,8.900600662818645,13.398270829710544,4.497670166891899
215,9.95308807506825,14.842331382626496,4.889243307558246
216,8.83556742132507,14.793412035743478,5.957844614418407
217,9.848554413104562,15.211292193378164,5.362737780273601
218,9.354819332802224,13.974663679148177,4.619844346345953
219,9.938918273831158,15.239996194173402,5.3010779203422445
220,8.909749682911722,14.916761177403371,6.00701149449165
221,8.656439897714879,12.788032082311009,4.13159218459613
222,9.60471563200903,13.52456450846048,3.91984887645145
223,9.219681621874388,13.801283041748755,4.581601419874367
224,9.29701154431971,14.06691616219769,4.76990461787798
225,9.988210748984196,14.10807342657797,4.119862677593774
226,9.90202473970747,13.971954746601558,4.069930006894088
227,9.739667726817318,14.536614576736957,4.796946849919639
228,9.522031441047853,14.136118873448703,4.614087432400851
229,10.038984763562716,14.057932145767953,4.018947382205237
230,8.968146451729362,14.280898284632425,5.3127518329030625
231,10.189868721905928,15.860495883968024,5.670627162062097
232,9.324323545821064,13.728636031697105,4.404312485876041
233,9.549778922973012,15.145442279602735,5.595663356629723
234,8.41204638855127,14.258119900800434,5.8460735122491645
235,8.929354587786245,13.144771373241966,4.215416785455721
236,10.018007199270963,14.11646681347329,4.098459614202326
237,10.337756719910331,15.901004200632224,5.563247480721893
238,9.655033276978987,13.780603859529075,4.125570582550088
239,9.859688276850171,15.889889103139877,6.030200826289706
240,9.506738037708818,14.746256911125895,5.239518873417078
241,8.225227464895347,13.57302155679299,5.347794091897642
242,8.581286676787807,13.975965792140977,5.394679115353171
243,8.711440297184284,13.690765000874677,4.979324703690393
244,9.131104936768565,13.22390766330778,4.092802726539215
245,9.14739694763665,16.129875870903955,6.982478923267305
246,8.974127227486656,14.045323866370264,5.071196638883608
247,8.673925308813441,13.767809467126646,5.093884158313205
248,9.94736112588689,13.773462026675366,3.826100900788477
249,8.654344716600566,13.791932776107885,5.137588059507319
250,8.83178117789673,13.715244178054837,4.883463000158107
251,9.789673229641373,14.432249520087737,4.642576290446364
252,9.465378845124919,13.498903373344458,4.033524528219539
253,9.189867099265111,13.646371091370845,4.456503992105734
254,8.95181778602833,13.986459075154071,5.034641289125741
255,10.427601868383347,15.301243074367072,4.873641205983725
256,8.574811645766943,13.910194240572002,5.3353825948050595
257,9.14877034910632,13.471110411149873,4.322340062043553
258,9.520423586298362,13.120627789120908,3.600204202822546
259,9.31393695565393,13.37089485750362,4.056957901849691
260,9.311033194776035,14.606110007207663,5.295076812431628
261,9.112092600622377,13.852014717511386,4.739922116889009
262,9.217415217253917,14.22632263986766,5.008907422613744
263,9.166573865269203,14.656925938100349,5.490352072831145
264,9.211719859173957,12.179563602213241,2.9678437430392837
265,9.728478834062207,14.706855516426309,4.978376682364102
266,8.83170750155165,12.672228661103368,3.8405211595517184
267,8.597236063463829,13.158638544617554,4.561402481153726
268,10.283070788502698,14.510116363013312,4.227045574510614
269,9.56225139740748,14.737337168482645,5.175085771075166
270,9.734121962772216,14.010090304796837,4.275968342024621
271,9.228771579865434,13.87745866207192,4.648687082206486
272,9.302377004899759,14.424477188148336,5.122100183248577
273,8.714174597420866,13.829630475111863,5.115455877690996
274,9.698053197862297,14.435448960340247,4.73739576247795
275,8.62936304691456,13.396244325832864,4.766881278918303
276,9.969139217716796,14.917765475803941,4.948626258087145
277,8.424382571927293,13.251747163802968,4.827364591875675
278,9.113186209561263,14.004421374198387,4.8912351646371235
279,9.51900663400824,15.189080991110943,5.670074357102703
280,9.25273354936898,13.87030114637348,4.6175675970045
281,9.654220650749863,15.493506029466749,5.839285378716886
282,8.242607765176286,13.449200208681207,5.2065924435049205
283,8.732168737338139,14.592262971388788,5.860094234050649
284,8.743278533557275,14.434178909822354,5.690900376265079
285,8.864700265505528,13.9102305446164,5.0455302791108725
286,9.335295076928324,14.077430741892504,4.742135664964181
287,9.362382319169239,14.404666924891982,5.0422846057227435
288,8.074832973171302,13.981694317338299,5.906861344166996
289,7.5793262274194175,12.299197965289043,4.719871737869625
290,9.886272647646148,14.896041182444872,5.009768534798724
291,9.195129901759351,14.437938378234069,5.242808476474718
292,9.004941249113447,13.815265683217097,4.81032443410365
293,9.59696456700093,14.244623033424565,4.647658466423636
294,9.381598333195281,13.57476785915221,4.193169525956929
295,9.451671617281292,13.383562710439136,3.9318910931578444
296,9.50262797057777,14.469920591797754,4.967292621219984
297,9.07962889119481,13.883653627421063,4.804024736226253
298,8.934585505272407,15.230637483477738,6.29605197820533
299,9.988737024705307,14.320833033549526,4.3320960088442195
300,9.037055397119097,14.314520784650275,5.277465387531178
301,9.367453606628112,14.788788858975852,5.42133525234774
302,8.921114188790645,14.206226815142616,5.285112626351971
303,9.56904951052974,14.90524578445887,5.336196273929129
304,9.450453257139987,13.343863156443115,3.893409899303128
305,8.479747623608532,13.285644848126964,4.805897224518432
306,7.958926170559042,12.272224370380428,4.313298199821386
