model,family,benchmark,score,source,sample_weight,pred_Scale,abs_err_Scale,pred_Scale+Arch,abs_err_Scale+Arch,pred_Scale+Recipe,abs_err_Scale+Recipe,pred_Full,abs_err_Full,prediction,residual,abs_residual,sq_residual,residual_sign,thinking,tools_allowed,reasoning_effort,release_year_norm,source_detail
Claude-Opus-4,Claude,LiveCodeBench,51.1,cross_report,0.85,72.98261709238065,21.88261709238065,72.37631730959161,21.27631730959161,75.18877481316534,24.088774813165337,73.08980108998897,21.989801089988966,73.08980108998897,-21.989801089988966,21.989801089988966,483.5513519772799,overpredicted,on,no,standard,3.4200000000000728,"Google Gemini 2.5 report, Tables 3-4, https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf"
Gemini-2.5-Pro,Gemini,GPQA_Diamond,86.4,official,1.0,77.80876704086296,8.591232959137045,73.21737201586157,13.182627984138435,81.99892601700907,4.401073982990937,65.21464817928823,21.185351820711773,65.21464817928823,21.185351820711773,21.185351820711773,448.81913176733565,underpredicted,on,no,standard,3.3299999999999272,"Google Gemini 2.5 report, Tables 3-4, https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf"
Llama-4-Maverick,Llama4,LiveCodeBench,43.4,official,1.0,37.4506027483322,5.949397251667797,27.957938904152623,15.442061095847375,29.1957788386557,14.2042211613443,22.23125174610283,21.168748253897167,22.23125174610283,21.168748253897167,21.168748253897167,448.11590263687435,underpredicted,off,unknown,none,3.269999999999982,Meta Llama 4 model card (April 2025)
Llama-4-Scout,Llama4,MMLU_Pro,74.3,official,1.0,67.29125046564695,7.0087495343530435,40.84196337699673,33.45803662300327,75.40624843464806,1.1062484346480659,53.685296296898684,20.614703703101313,53.685296296898684,20.614703703101313,20.614703703101313,424.966008766659,underpredicted,off,unknown,none,3.269999999999982,Meta Llama 4 model card (April 2025)
Llama-4-Scout,Llama4,LiveCodeBench,32.8,official,1.0,21.894313739093636,10.90568626090636,8.966943367289502,23.833056632710495,26.217771670982245,6.582228329017752,12.2609033315621,20.5390966684379,12.2609033315621,20.5390966684379,20.5390966684379,421.8544919554368,underpredicted,off,unknown,none,3.269999999999982,Meta Llama 4 model card (April 2025)
Gemma-3-27B-IT,Gemma,GPQA_Diamond,42.4,official,1.0,41.336841597227384,1.0631584027726149,42.28268960146888,0.11731039853111724,59.40375544443108,17.00375544443108,62.868157243900704,20.468157243900706,62.868157243900704,-20.468157243900706,20.468157243900706,418.94546096104494,overpredicted,off,unknown,none,3.25,Gemma 3 tech report arxiv:2503.19786 Table 6 (instruction-tuned)
Llama-4-Scout,Llama4,GPQA_Diamond,57.2,official,1.0,51.7373348193657,5.462665180634303,27.673679549865565,29.52632045013444,59.73896837319415,2.5389683731941446,36.733740998040524,20.46625900195948,36.733740998040524,20.46625900195948,20.46625900195948,418.8677575352874,underpredicted,off,unknown,none,3.269999999999982,Meta Llama 4 model card (April 2025)
Gemma-3-4B-Base,Gemma,ARC_C,56.2,official,1.0,79.36509954528503,23.16509954528503,82.20032864650322,26.00032864650322,84.76591331208309,28.565913312083083,76.61756496177841,20.41756496177841,76.61756496177841,-20.41756496177841,20.41756496177841,416.87695896844144,overpredicted,na,unknown,unknown,3.25,"Gemma 3 tech report arxiv:2503.19786 Tables 10+19 (base, pre-trained)"
Gemma-3-27B-Base,Gemma,GPQA_Diamond,24.3,official,1.0,61.61367009893204,37.313670098932036,58.2280804875417,33.928080487541706,62.443784084136006,38.143784084136,44.66756785524386,20.36756785524386,44.66756785524386,-20.36756785524386,20.36756785524386,414.8378203379629,overpredicted,na,unknown,unknown,3.25,"Gemma 3 tech report arxiv:2503.19786 Tables 10+19 (base, pre-trained)"
Llama-3.1-70B,Llama3,ARC_C,68.8,official,1.0,84.96278987517162,16.162789875171626,88.23640006206439,19.436400062064394,92.04902303674372,23.249023036743722,88.83431480315869,20.034314803158694,88.83431480315869,-20.034314803158694,20.034314803158694,401.37376963206356,overpredicted,na,unknown,unknown,2.5,Meta Llama 3.1 eval_details.md; 5-shot MMLU=79.3
o3-mini,OpenAI_o,LiveCodeBench,67.0,official,1.0,53.5842787662382,13.4157212337618,56.60249025864541,10.39750974135459,61.29041748406029,5.709582515939708,46.98859013406087,20.01140986593913,46.98859013406087,20.01140986593913,20.01140986593913,400.4565248226059,underpredicted,on,unknown,high,3.0799999999999272,OpenAI o3-mini system card + simple-evals (Jan 2025)
Gemma-3-4B-Base,Gemma,MATH,24.2,official,1.0,36.29081725558387,12.090817255583868,43.64100096006353,19.44100096006353,57.364207553705526,33.16420755370552,44.20007271141977,20.000072711419772,44.20007271141977,-20.000072711419772,20.000072711419772,400.00290846207787,overpredicted,na,unknown,unknown,3.25,"Gemma 3 tech report arxiv:2503.19786 Tables 10+19 (base, pre-trained)"
Llama-2-7B,Llama2,MMLU,45.3,official,1.0,44.07849005605829,1.2215099439417045,34.709565513189304,10.590434486810693,29.13680851729002,16.163191482709976,25.352514185237943,19.947485814762054,25.352514185237943,19.947485814762054,19.947485814762054,397.90219033013335,underpredicted,na,unknown,unknown,1.5,"Meta Llama 2 paper Table 3-5, arxiv:2307.09288"
