source,n,models,mean_score,mean_pred,weighted_mae,weighted_rmse,weighted_bias,p90_abs_error
leaderboard,6,1,38.65,42.923825990656184,9.664421989110732,12.448365606531862,-4.273825990656189,18.481442598103925
cross_report,38,8,71.33684210526316,74.60889681759132,9.502989764849904,16.529162259524558,-3.272054712328179,18.985170618556893
official,202,33,67.31851485148515,68.85688387722676,9.334987193779279,12.06392622956646,-1.538369025741611,20.334242550035345
simple_evals,4,2,92.15,90.66578983239188,3.526820696897762,3.99490078815167,1.484210167608122,5.4335834036196635
